USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.4 159928  8252 ?        Ss   4月04   0:04 /sbin/init splash
xy         1879  0.0  0.3 373596  7472 ?        Ssl  4月04   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
xy         1885  0.0  0.2 270616  4676 ?        Ssl  4月04   0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
xy         1890  0.0  1.0 512488 21828 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-power
xy         1892  0.0  0.4 344116  9992 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
xy         1893  0.0  0.2 418132  5792 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
xy         1894  0.0  0.2 270524  5624 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
xy         1897  0.0  0.4 447768  9208 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
xy         1904  0.0  1.0 489872 21212 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
xy         1905  0.0  1.0 423880 20824 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
xy         1908  0.0  0.3 372996  7120 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
xy         1910  0.0  0.3 327792  7428 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
xy         1913  0.0  0.2 273084  5608 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
xy         1914  0.0  0.9 338900 19652 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
xy         1916  0.0  1.0 654012 20992 tty2     Sl+  4月04   0:02 /usr/lib/gnome-settings-daemon/gsd-color
xy         1918  0.0  0.6 464668 12544 tty2     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
